num_item_id,word_code,word1,word2,WordBank1,WordBank2,category,class,classForm,classEH,classRS,classEHse,classVerbs,CDI_Metadata_compatible
173,mcs_vc6_shirt,shirt,shirt,shirt,shirt,clothing,Noun,Noun,Noun,Noun,Noun,Noun,shirt
174,mcs_vc6_shoe,shoe,shoe,shoe,shoe,clothing,Noun,Noun,Noun,Noun,Noun,Noun,shoe
175,mcs_vc6_shorts,shorts,shorts,shorts,shorts,clothing,Noun,Noun,Noun,Noun,Noun,Noun,shorts
176,mcs_vc6_slipper,slipper,slipper,slipper,slipper,clothing,Noun,Noun,Noun,Noun,Noun,Noun,slipper
177,mcs_vc6_sneaker,sneaker,sneaker,sneaker,sneaker,clothing,Noun,Noun,Noun,Noun,Noun,Noun,sneaker
178,mcs_vc6_snowsuit,snowsuit,snowsuit,snowsuit,snowsuit,clothing,Noun,Noun,Noun,Noun,Noun,Noun,snowsuit
179,mcs_vc6_sock,sock,sock,sock,sock,clothing,Noun,Noun,Noun,Noun,Noun,Noun,sock
180,mcs_vc6_sweater,sweater,sweater,sweater,sweater,clothing,Noun,Noun,Noun,Noun,Noun,Noun,sweater
181,mcs_vc6_tights,tights,tights,tights,tights,clothing,Noun,Noun,Noun,Noun,Noun,Noun,tights
182,mcs_vc6_underpants,underpants,underpants,underpants,underpants,clothing,Noun,Noun,Noun,Noun,Noun,Noun,underpants
183,mcs_vc6_zipper,zipper,zipper,zipper,zipper,clothing,Noun,Noun,Noun,Noun,Noun,Noun,zipper
184,mcs_vc7_ankle,ankle,ankle,ankle,ankle,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,ankle
185,mcs_vc7_arm,arm,arm,arm,arm,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,arm
186,mcs_vc7_bellybutton,bellybutton,bellybutton,bellybutton,bellybutton,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,belly button
187,mcs_vc7_buttocks_bottom,buttocks/bottom,buttocks/bottom,buttocks/bottom,buttocks/bottom,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,buttocks/bottom*
188,mcs_vc7_cheek,cheek,cheek,cheek,cheek,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,cheek
189,mcs_vc7_chin,chin,chin,chin,chin,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,chin
190,mcs_vc7_ear,ear,ear,ear,ear,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,ear
191,mcs_vc7_eye,eye,eye,eye,eye,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,eye
192,mcs_vc7_face,face,face,face,face,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,face
193,mcs_vc7_feet,feet,feet,feet,feet,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,foot
194,mcs_vc7_finger,finger,finger,finger,finger,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,finger
195,mcs_vc7_hair,hair,hair,hair,hair,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,hair
196,mcs_vc7_hand,hand,hand,hand,hand,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,hand
197,mcs_vc7_head,head,head,head,head,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,head
198,mcs_vc7_knee,knee,knee,knee,knee,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,knee
199,mcs_vc7_leg,leg,leg,leg,leg,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,leg
200,mcs_vc7_lips,lips,lips,lips,lips,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,lips
201,mcs_vc7_mouth,mouth,mouth,mouth,mouth,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,mouth
202,mcs_vc7_nose,nose,nose,nose,nose,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,nose
203,mcs_vc7_owie_booboo,owiebooboo,owiebooboo,owiebooboo,owiebooboo,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,owie/boo boo
204,mcs_vc7_penis,penis,penis,penis,penis,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,penis*
205,mcs_vc7_shoulder,shoulder,shoulder,shoulder,shoulder,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,shoulder
206,mcs_vc7_tooth,tooth,tooth,tooth,tooth,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,tooth
207,mcs_vc7_toe,toe,toe,toe,toe,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,toe
208,mcs_vc7_tongue,tongue,tongue,tongue,tongue,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,tongue
209,mcs_vc7_tummy,tummy,tummy,tummy,tummy,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,tummy
210,mcs_vc7_vagina,vagina,vagina,vagina,vagina,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,vagina*
211,mcs_vc8_basket,basket,basket,basket,basket,household,Noun,Noun,Noun,Noun,Noun,Noun,basket
212,mcs_vc8_blanket,blanket,blanket,blanket,blanket,household,Noun,Noun,Noun,Noun,Noun,Noun,blanket
213,mcs_vc8_bottle,bottle,bottle,bottle,bottle,household,Noun,Noun,Noun,Noun,Noun,Noun,bottle
214,mcs_vc8_box,box,box,box,box,household,Noun,Noun,Noun,Noun,Noun,Noun,box
215,mcs_vc8_bowl,5bowl,5bowl,5bowl,5bowl,household,Noun,Noun,Noun,Noun,Noun,Noun,bowl
216,mcs_vc8_broom,broom,broom,broom,broom,household,Noun,Noun,Noun,Noun,Noun,Noun,broom
217,mcs_vc8_brush,brush,brush,brush,brush,household,Noun,Noun,Noun,Noun,Noun,Noun,brush
218,mcs_vc8_bucket,bucket,bucket,bucket,bucket,household,Noun,Noun,Noun,Noun,Noun,Noun,bucket
219,mcs_vc8_camera,camera,camera,camera,camera,household,Noun,Noun,Noun,Noun,Noun,Noun,camera
220,mcs_vc8_can,can,can,can (house),can_obj,household,Noun,Noun,Noun,Noun,Noun,Noun,can (object)
221,mcs_vc8_clock,clock,clock,clock,clock,household,Noun,Noun,Noun,Noun,Noun,Noun,clock
222,mcs_vc8_comb,comb,comb,comb,comb,household,Noun,Noun,Noun,Noun,Noun,Noun,comb
223,mcs_vc8_cup,cup,cup,cup,cup,household,Noun,Noun,Noun,Noun,Noun,Noun,cup
224,mcs_vc8_dish,dish,dish,dish,dish,household,Noun,Noun,Noun,Noun,Noun,Noun,dish
225,mcs_vc8_fork,fork,fork,fork,fork,household,Noun,Noun,Noun,Noun,Noun,Noun,fork
