num_item_id,word,replacement_word,replacement_word2,word_WordBank1,word_WordBank2,category,WG_class,class,classEH,RescorlaSafyer_Class,classEHse,classVerbs,CDI_Metadata_compatible
198,mcg_vc7_knee,knee,knee,knee,knee,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,knee
199,mcg_vc7_leg,leg,leg,leg,leg,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,leg
201,mcg_vc7_mouth,mouth,mouth,mouth,mouth,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,mouth
202,mcg_vc7_nose,nose,nose,nose,nose,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,nose
203,mcg_vc7_owie,owiebooboo,owiebooboo,owie/boo boo,owiebooboo,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,owie/boo boo
208,mcg_vc7_tth,tooth,tooth,tooth,tooth,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,tooth
206,mcg_vc7_toe,toe,toe,toe,toe,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,toe
207,mcg_vc7_tong,tongue,tongue,tongue,tongue,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,tongue
209,mcg_vc7_tum,tummy,tummy,tummy,tummy,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,tummy
262,mcg_vc8_btrm,bathroom,bathroom,bathroom,bathroom,furniture_rooms,Noun,Noun,Noun,Noun,Noun,Noun,bathroom
263,mcg_vc8_bttb,bathtub,bathtub,bathtub,bathtub,furniture_rooms,Noun,Noun,Noun,Noun,Noun,Noun,bathtub
264,mcg_vc8_bed,bed,bed,bed,bed,furniture_rooms,Noun,Noun,Noun,Noun,Noun,Noun,bed
265,mcg_vc8_bdrm,bedroom,bedroom,bedroom,bedroom,furniture_rooms,Noun,Noun,Noun,Noun,Noun,Noun,bedroom
267,mcg_vc8_chr,chair,chair,chair,chair,furniture_rooms,Noun,Noun,Noun,Noun,Noun,Noun,chair
269,mcg_vc8_couch,couch,couch,couch,couch,furniture_rooms,Noun,Noun,Noun,Noun,Noun,Noun,couch
270,mcg_vc8_crib,crib,crib,crib,crib,furniture_rooms,Noun,Noun,Noun,Noun,Noun,Noun,crib
271,mcg_vc8_door,door,door,door,door,furniture_rooms,Noun,Noun,Noun,Noun,Noun,Noun,door
272,mcg_vc8_drwr,drawer,drawer,drawer,drawer,furniture_rooms,Noun,Noun,Noun,Noun,Noun,Noun,drawer
274,mcg_vc8_grg,garage,garage,garage,garage,furniture_rooms,Noun,Noun,Noun,Noun,Noun,Noun,garage
275,mcg_vc8_hchr,highchair,highchair,high chair,highchair,furniture_rooms,Noun,Noun,Noun,Noun,Noun,Noun,high chair
276,mcg_vc8_ktchn,kitchen,kitchen,kitchen,kitchen,furniture_rooms,Noun,Noun,Noun,Noun,Noun,Noun,kitchen
277,mcg_vc8_lvrm,livingroom,livingroom,living room,livingroom,furniture_rooms,Noun,Noun,Noun,Noun,Noun,Noun,living room
278,mcg_vc8_oven,oven,oven,oven,oven,furniture_rooms,Noun,Noun,Noun,Noun,Noun,Noun,oven
279,mcg_vc8_ppen,playpen,playpen,play pen,playpen,furniture_rooms,Noun,Noun,Noun,Noun,Noun,Noun,play pen
281,mcg_vc8_ptty,potty,potty,potty,potty,furniture_rooms,Noun,Noun,Noun,Noun,Noun,Noun,potty
283,mcg_vc8_refr,refrigerator,refrigerator,refrigerator,refrigerator,furniture_rooms,Noun,Noun,Noun,Noun,Noun,Noun,refrigerator
282,mcg_vc8_rckch,rockingchair,rockingchair,rocking chair,rockingchair,furniture_rooms,Noun,Noun,Noun,Noun,Noun,Noun,rocking chair
286,mcg_vc8_sink,sink,sink,sink,sink,furniture_rooms,Noun,Noun,Noun,Noun,Noun,Noun,sink
288,mcg_vc8_strs,stairs,stairs,stairs,stairs,furniture_rooms,Noun,Noun,Noun,Noun,Noun,Noun,stairs
289,mcg_vc8_stve,stove,stove,stove,stove,furniture_rooms,Noun,Noun,Noun,Noun,Noun,Noun,stove
290,mcg_vc8_table,table,table,table,table,furniture_rooms,Noun,Noun,Noun,Noun,Noun,Noun,table
291,mcg_vc8_tv,TV,TV,TV,TV,furniture_rooms,Noun,Noun,Noun,Noun,Noun,Noun,TV
292,mcg_vc8_wndw,window,window,window,window,furniture_rooms,Noun,Noun,Noun,Noun,Noun,Noun,window
212,mcg_vc9_blnkt,blanket,blanket,blanket,blanket,household,Noun,Noun,Noun,Noun,Noun,Noun,blanket
213,mcg_vc9_bttl,bottle,bottle,bottle,bottle,household,Noun,Noun,Noun,Noun,Noun,Noun,bottle
214,mcg_vc9_bowl,5bowl,5bowl,bowl,bowl,household,Noun,Noun,Noun,Noun,Noun,Noun,bowl
215,mcg_vc9_box,box,box,box,box,household,Noun,Noun,Noun,Noun,Noun,Noun,box
216,mcg_vc9_brm,broom,broom,broom,broom,household,Noun,Noun,Noun,Noun,Noun,Noun,broom
217,mcg_vc9_brsh,brush,brush,brush,brush,household,Noun,Noun,Noun,Noun,Noun,Noun,brush
221,mcg_vc9_clck,clock,clock,clock,clock,household,Noun,Noun,Noun,Noun,Noun,Noun,clock
222,mcg_vc9_comb,comb,comb,comb,comb,household,Noun,Noun,Noun,Noun,Noun,Noun,comb
223,mcg_vc9_cup,cup,cup,cup,cup,household,Noun,Noun,Noun,Noun,Noun,Noun,cup
224,mcg_vc9_dish,dish,dish,dish,dish,household,Noun,Noun,Noun,Noun,Noun,Noun,dish
225,mcg_vc9_fork,fork,fork,fork,fork,household,Noun,Noun,Noun,Noun,Noun,Noun,fork
227,mcg_vc9_glss,glass,glass,glass,glass,household,Noun,Noun,Noun,Noun,Noun,Noun,glass
228,mcg_vc9_glsss,glasses,glasses,glasses,glasses,household,Noun,Noun,Noun,Noun,Noun,Noun,glasses
229,mcg_vc9_hammr,hammer,hammer,hammer,hammer,household,Noun,Noun,Noun,Noun,Noun,Noun,hammer
231,mcg_vc9_key,keys,keys,keys,keys,household,Noun,Noun,Noun,Noun,Noun,Noun,keys
233,mcg_vc9_lamp,lamp,lamp,lamp,lamp,household,Noun,Noun,Noun,Noun,Noun,Noun,lamp
234,mcg_vc9_lght,light,light,light,light,household,Noun,Noun,Noun,Noun,Noun,Noun,light
235,mcg_vc9_mdcn,medicine,medicine,medicine,medicine,household,Noun,Noun,Noun,Noun,Noun,Noun,medicine
236,mcg_vc9_mney,money,money,money,money,household,Noun,Noun,Noun,Noun,Noun,Noun,money
240,mcg_vc9_ppr,paper,paper,paper,paper,household,Noun,Noun,Noun,Noun,Noun,Noun,paper
241,mcg_vc9_pnny,penny,penny,penny,penny,household,Noun,Noun,Noun,Noun,Noun,Noun,penny
242,mcg_vc9_pctr,picture,picture,picture,picture,household,Noun,Noun,Noun,Noun,Noun,Noun,picture
243,mcg_vc9_pllw,pillow,pillow,pillow,pillow,household,Noun,Noun,Noun,Noun,Noun,Noun,pillow
244,mcg_vc9_plant,plant,plant,plant,plant,household,Noun,Noun,Noun,Noun,Noun,Noun,plant
245,mcg_vc9_plate,plate,plate,plate,plate,household,Noun,Noun,Noun,Noun,Noun,Noun,plate
246,mcg_vc9_purse,purse,purse,purse,purse,household,Noun,Noun,Noun,Noun,Noun,Noun,purse
247,mcg_vc9_radio,radio,radio,radio,radio,household,Noun,Noun,Noun,Noun,Noun,Noun,radio
248,mcg_vc9_scssr,scissors,scissors,scissors,scissors,household,Noun,Noun,Noun,Noun,Noun,Noun,scissors
